date,2781,exceedance probability,return period
2011-08-31 00:00:00,22.47685146,0.009345794,107
2013-01-20 00:00:00,21.20370324,0.018691589,53.5
2015-05-03 00:00:00,21.08585835,0.028037383,35.66666667
2003-10-26 00:00:00,21.01851813,0.037383178,26.75
2006-02-07 00:00:00,20.55555511,0.046728972,21.4
2008-02-09 00:00:00,20.19263951,0.056074766,17.83333333
2014-09-16 00:00:00,20.18518511,0.070093458,14.26666667
2019-07-02 00:00:00,20.18518511,0.070093458,14.26666667
2001-01-19 00:00:00,20.17094,0.08411215,11.88888889
2020-05-26 00:00:00,19.94107739,0.093457944,10.7
2007-11-06 00:00:00,19.8063972,0.102803738,9.727272727
1996-01-13 00:00:00,19.77752202,0.112149533,8.916666667
2000-05-13 00:00:00,19.62121209,0.121495327,8.230769231
2017-10-06 00:00:00,19.57912445,0.130841121,7.642857143
2009-12-06 00:00:00,19.5454545,0.144859813,6.903225806
2016-09-23 00:00:00,19.5454545,0.144859813,6.903225806
2027-12-13 00:00:00,19.53231278,0.163551402,6.114285714
2051-02-12 00:00:00,19.53231278,0.163551402,6.114285714
2005-09-16 00:00:00,19.39393934,0.177570093,5.631578947
2060-05-21 00:00:00,19.28710354,0.401869159,2.488372093
2061-01-11 00:00:00,19.28710354,0.401869159,2.488372093
2062-01-10 00:00:00,19.28710354,0.401869159,2.488372093
2065-02-17 00:00:00,19.28710354,0.401869159,2.488372093
2048-02-04 00:00:00,19.28710354,0.401869159,2.488372093
2059-01-23 00:00:00,19.28710354,0.401869159,2.488372093
2055-01-26 00:00:00,19.28710354,0.401869159,2.488372093
2050-12-20 00:00:00,19.28710354,0.401869159,2.488372093
2049-01-28 00:00:00,19.28710354,0.401869159,2.488372093
2047-05-26 00:00:00,19.28710354,0.401869159,2.488372093
2093-03-09 00:00:00,19.28710354,0.401869159,2.488372093
2066-01-17 00:00:00,19.28710354,0.401869159,2.488372093
2075-01-23 00:00:00,19.28710354,0.401869159,2.488372093
2067-02-13 00:00:00,19.28710354,0.401869159,2.488372093
2068-12-22 00:00:00,19.28710354,0.401869159,2.488372093
2069-03-23 00:00:00,19.28710354,0.401869159,2.488372093
2070-12-10 00:00:00,19.28710354,0.401869159,2.488372093
2071-03-07 00:00:00,19.28710354,0.401869159,2.488372093
2074-10-25 00:00:00,19.28710354,0.401869159,2.488372093
2043-05-15 00:00:00,19.28710354,0.401869159,2.488372093
2076-02-01 00:00:00,19.28710354,0.401869159,2.488372093
2077-12-31 00:00:00,19.28710354,0.401869159,2.488372093
2078-03-01 00:00:00,19.28710354,0.401869159,2.488372093
2079-03-30 00:00:00,19.28710354,0.401869159,2.488372093
2082-04-15 00:00:00,19.28710354,0.401869159,2.488372093
2083-02-02 00:00:00,19.28710354,0.401869159,2.488372093
2084-03-12 00:00:00,19.28710354,0.401869159,2.488372093
2045-11-28 00:00:00,19.28710354,0.401869159,2.488372093
2091-03-17 00:00:00,19.28710354,0.401869159,2.488372093
2029-10-08 00:00:00,19.28710354,0.401869159,2.488372093
2028-02-09 00:00:00,19.28710354,0.401869159,2.488372093
2025-01-15 00:00:00,19.28710354,0.401869159,2.488372093
2030-10-26 00:00:00,19.28710354,0.401869159,2.488372093
2031-01-17 00:00:00,19.28710354,0.401869159,2.488372093
2024-05-02 00:00:00,19.28710354,0.401869159,2.488372093
2094-02-19 00:00:00,19.28710354,0.401869159,2.488372093
2023-03-12 00:00:00,19.28710354,0.401869159,2.488372093
2022-02-24 00:00:00,19.28710354,0.401869159,2.488372093
2021-03-20 00:00:00,19.28710354,0.401869159,2.488372093
2095-11-21 00:00:00,19.28710354,0.401869159,2.488372093
2096-02-27 00:00:00,19.28710354,0.401869159,2.488372093
2036-02-13 00:00:00,19.28710354,0.401869159,2.488372093
2037-12-07 00:00:00,19.28710354,0.401869159,2.488372093
2038-01-16 00:00:00,19.28710354,0.401869159,2.488372093
2099-03-08 00:00:00,19.28710354,0.401869159,2.488372093
2040-12-20 00:00:00,19.28710354,0.401869159,2.488372093
2088-03-13 00:00:00,19.28710354,0.401869159,2.488372093
2012-10-15 00:00:00,19.24242417,0.626168224,1.597014925
2018-07-24 00:00:00,19.12587408,0.635514019,1.573529412
2035-03-08 00:00:00,19.10799689,0.644859813,1.550724638
2010-03-23 00:00:00,19.01515142,0.654205607,1.528571429
2042-01-27 00:00:00,18.98182873,0.663551402,1.507042254
1997-02-15 00:00:00,18.84098465,0.672897196,1.486111111
2053-12-02 00:00:00,18.84098465,0.686915888,1.455782313
2041-01-23 00:00:00,18.84098465,0.686915888,1.455782313
2057-11-08 00:00:00,18.84098465,0.705607477,1.417218543
2073-12-28 00:00:00,18.84098465,0.705607477,1.417218543
2039-01-02 00:00:00,18.83423243,0.724299065,1.380645161
2052-10-03 00:00:00,18.83423243,0.724299065,1.380645161
2056-03-20 00:00:00,18.73953255,0.747663551,1.3375
2034-10-02 00:00:00,18.73953255,0.747663551,1.3375
2064-10-31 00:00:00,18.73953255,0.747663551,1.3375
2054-05-09 00:00:00,18.67655392,0.76635514,1.304878049
2044-10-05 00:00:00,18.65760664,0.785046729,1.273809524
2086-03-17 00:00:00,18.65760664,0.785046729,1.273809524
2092-02-10 00:00:00,18.65760664,0.785046729,1.273809524
2063-11-08 00:00:00,18.63808046,0.803738318,1.244186047
2080-04-03 00:00:00,18.60631593,0.813084112,1.229885057
2032-11-18 00:00:00,18.57044573,0.822429907,1.215909091
2004-07-19 00:00:00,18.56060592,0.831775701,1.202247191
2081-02-05 00:00:00,18.44176873,0.841121495,1.188888889
2085-10-28 00:00:00,18.39486575,0.85046729,1.175824176
2096-12-31 00:00:00,18.39486575,0.864485981,1.156756757
2072-01-02 00:00:00,18.39486575,0.864485981,1.156756757
1995-02-02 00:00:00,18.39486575,0.878504673,1.138297872
2089-03-22 00:00:00,18.28558644,0.887850467,1.126315789
2033-02-13 00:00:00,18.21148775,0.897196262,1.114583333
2090-01-23 00:00:00,18.19196157,0.911214953,1.097435897
2058-02-22 00:00:00,18.19196157,0.911214953,1.097435897
2046-03-01 00:00:00,18.16019703,0.925233645,1.080808081
2002-01-09 00:00:00,17.86616174,0.934579439,1.07
2087-10-09 00:00:00,17.73801545,0.953271028,1.049019608
2026-02-11 00:00:00,17.73801545,0.953271028,1.049019608
2098-12-05 00:00:00,17.73801545,0.953271028,1.049019608
1999-01-10 00:00:00,17.6198854,0.976635514,1.023923445
1998-01-01 00:00:00,17.6198854,0.976635514,1.023923445
2100-01-01 00:00:00,12.94206779,0.990654206,1.009433962
